# EMERSON X-STREAM XE	Data Logs
# Device Tag: 	XEA04203188876
# Location: 	MY Plant
# Company: 	MY Company
# Serial: 	XEA04203188876
# Firmware:	1.5.1
# --------	--------	--------
# Date	Time	Ch1:Conce:mg/Nm	Status	Ch1:Temp:°C	Status
1/24/2024	14:25:06	-2.0	G	66.5	G
1/24/2024	14:25:11	-1.9	G	66.5	G
1/24/2024	14:25:16	-1.9	G	66.5	G
1/24/2024	14:25:21	-1.8	G	66.5	G
1/24/2024	14:25:26	-1.8	G	66.5	G
1/24/2024	14:25:31	-1.8	G	66.5	G
1/24/2024	14:25:36	-1.8	G	66.5	G
1/24/2024	14:25:41	-1.8	G	66.5	G
1/24/2024	14:25:46	-1.9	G	66.4	G
1/24/2024	14:25:51	-1.8	G	66.4	G
1/24/2024	14:25:56	-1.7	G	66.4	G
1/24/2024	14:26:01	-1.6	G	66.4	G
1/24/2024	14:26:06	-1.6	G	66.4	G
1/24/2024	14:26:11	-1.5	G	66.4	G
1/24/2024	14:26:16	-1.4	G	66.4	G
1/24/2024	14:26:21	-1.4	G	66.4	G
1/24/2024	14:26:26	-1.2	G	66.4	G
1/24/2024	14:26:31	-1.2	G	66.4	G
1/24/2024	14:26:36	-1.2	G	66.4	G
1/24/2024	14:26:41	-1.2	G	66.4	G
1/24/2024	14:26:46	-1.3	G	66.4	G
1/24/2024	14:26:51	-1.3	G	66.4	G
1/24/2024	14:26:56	-1.3	G	66.4	G
1/24/2024	14:27:01	-1.3	G	66.4	G
1/24/2024	14:27:06	-1.4	G	66.4	G
1/24/2024	14:27:11	-1.4	G	66.4	G
1/24/2024	14:27:16	-1.4	G	66.4	G
1/24/2024	14:27:21	-1.4	G	66.4	G
1/24/2024	14:27:26	-1.4	G	66.4	G
1/24/2024	14:27:31	-1.4	G	66.4	G
1/24/2024	14:27:36	-1.3	G	66.4	G
1/24/2024	14:27:41	-1.3	G	66.4	G
1/24/2024	14:27:46	-1.3	G	66.4	G
1/24/2024	14:27:51	-1.3	G	66.4	G
1/24/2024	14:27:56	-1.2	G	66.4	G
1/24/2024	14:28:01	-1.2	G	66.4	G
1/24/2024	14:28:06	-1.1	G	66.4	G
1/24/2024	14:28:11	-0.9	G	66.4	G
1/24/2024	14:28:16	-0.8	G	66.4	G
1/24/2024	14:28:21	-0.8	G	66.4	G
1/24/2024	14:28:26	-0.8	G	66.4	G
1/24/2024	14:28:31	-0.9	G	66.4	G
1/24/2024	14:28:36	-1.0	G	66.4	G
